"cnpj","nome","endereco","complemento","bairro","cep","municipio","uf","pais","ddd","numero","cod_compe_s_dv","x12"
"78834975","SICOOB PA - ANTONIO OLINTO","RUA EDGAR SCHAFHAUSER, 324","ESQUINA RUA PROFESSORA ERNESTINA W DA SILVEIRA","CENTRO","83980-000","ANTONIO OLINTO","PR","Brasil","42","35331551","-",NA
"78834975","SICOOB PA - ARAQUARI","BR 101 KM 71, 10155","SALA COMERCIAL 08","RAINHA","89425-000","ARAQUARI","SC","Brasil","47","97631546","-",NA
"78834975","SICOOB PA - ARAQUARI ITINGA","AV PREFEITO ALBERTO NATALINO MIQUELUTE, 7834","SALA 01","ITINGA","89245-000","ARAQUARI","SC","Brasil","47","34633769","-",NA
"78834975","SICOOB PA - ARAQUARI-CENTRO","AVENIDA NEREU RAMOS, 56","SALA","CENTRO","89245-000","ARAQUARI","SC","Brasil","47","34552558","-",NA
"78834975","SICOOB PA - BARRA DO SUL","AVENIDA AMANDIO CABRAL, 748","SALA COMERCIAL","CENTRO","89247-000","BALNEARIO BARRA DO SUL","SC","Brasil","-","-","-",NA
"78834975","SICOOB PA - BELA VISTA DO TOLDO","RUA AUGUSTO KUCHLER, 1660","SALA","CENTRO","89478-000","BELA VISTA DO TOLDO","SC","Brasil","47","36290153","-",NA
"78834975","SICOOB PA - CAMPO DA AGUA VERDE","AVENIDA EXPEDICIONÁRIOS, 1082","SALA","CAMPO DA AGUA VERDE","89460-000","CANOINHAS","SC","Brasil","47","36225420","-",NA
"78834975","SICOOB PA - CANOINHAS","RUA VIDAL RAMOS, 1151","PREDIO","CENTRO","89460-054","CANOINHAS","SC","Brasil","47","36223745","-",NA
"78834975","SICOOB PA - CANOINHAS SEDE","RUA ALVARO SOARES MACHADO, 455","PREDIO","TRICOLIN","89460-000","CANOINHAS","SC","Brasil","47","36223311","-",NA
"78834975","SICOOB PA - CASTRO","RUA JAVERT MADUREIRA, 1634","SALA COMERCIAL","VILA RIO BRANCO","84174-410","CASTRO","PR","Brasil","-","-","-",NA
"78834975","SICOOB PA - CASTRO","RUA JAVERT MADUREIRA, 1634","SALA COMERCIAL","VILA RIO BRANCO","84174-410","CASTRO","PR","Brasil","-","-","-",NA
"78834975","SICOOB PA - CONTENDA","AVENIDA JOAO FRANCO, 300","LOJAS 03 E 04","CENTRO","83730-000","CONTENDA","PR","Brasil","-","-","-",NA
"78834975","SICOOB PA - CRUZ MACHADO","RUA ENGENHEIRO FERREIRA CORREIA, 10","SALA COMERCIAL","CENTRO","84620-000","CRUZ MACHADO","PR","Brasil","42","35542012","-",NA
"78834975","SICOOB PA - GARUVA","AVENIDA PARANA, 378","SALA 01","CENTRO","89248-000","GARUVA","SC","Brasil","-","-","-",NA
"78834975","SICOOB PA - IRATI","RUA 19 DE DEZEMBRO, 447","-","CENTRO","84500-000","IRATI","PR","Brasil","-","-","-",NA
"78834975","SICOOB PA - IRINEOPOLIS - SC","RUA AVENIDA 22 DE JULHO, 1368","-","CENTRO","89440-000","IRINEOPOLIS","SC","Brasil","47","36251257","-",NA
"78834975","SICOOB PA - ITAPOA","RUA ANA MARIA RODRIGUES DE FREITAS, 1379","SALA","BALNEÁRIO SÃO JOSE","89249-970","ITAPOA","SC","Brasil","47","34430590","-",NA
"78834975","SICOOB PA - LAPA","AVENIDA ALOISIO LEONI, 264","SALA COMERCIAL","CENTRO","83752-000","LAPA","PR","Brasil","41","35475027","-",NA
"78834975","SICOOB PA - MALET","RUA VICENTE MACHADO C RUA MAJOR ESTEVAO, 340","SALA A","CENTRO","84570-000","MALLET","PR","Brasil","42","35421195","-",NA
"78834975","SICOOB PA - MATINHOS","RUA CECILIANO TAVARES, 815","SALA COMERCIAL","CENTRO","83260-000","MATINHOS","PR","Brasil","41","3453","-",NA
"78834975","SICOOB PA - MORRETES","RUA QUINZE DE NOVEMBRO, 425","-","CENTRO","83350-000","MORRETES","PR","Brasil","-","-","-",NA
"78834975","SICOOB PA - PALMEIRA","RUA CONCEIÇÃO, 113","EDIFÍCIO VITORIA, SALAS 1 E 2","CENTRO","84130-000","PALMEIRA","PR","Brasil","42","32521640","-",NA
"78834975","SICOOB PA - PARANAGUA CENTRO","RUA PRESCILIANO CORREIA, 28","SALA COMERCIAL","CENTRO HISTORICO","83203-230","PARANAGUA","PR","Brasil","41","34259573","-",NA
"78834975","SICOOB PA - PAULA FREITAS","AVENIDA AGOSTINHO DE SOUZA, 683","SALA COMERCIAL","CENTRO","84630-000","PAULA FREITAS","PR","Brasil","-","-","-",NA
"78834975","SICOOB PA - PAULO FRONTIN","RUA JOAO RETCHESKI, 82","SALA","CENTRO","84635-000","PAULO FRONTIN","PR","Brasil","42","35431818","-",NA
"78834975","SICOOB PA - PONTA GROSSA","RUA ERNESTO VILELA, 699","-","NOVA RUSSIA","84070-000","PONTA GROSSA","PR","Brasil","-","-","-",NA
"78834975","SICOOB PA - PONTAL CANOAS","RUA MARCO AURELIO GEROLIN, 78","RODV PR 412 NR 1824 SALA 01","CANOAS","83255-000","PONTAL DO PARANA","PR","Brasil","41","31350461","-",NA
"78834975","SICOOB PA - PONTAL DO PARANÁ","ROD. ENGENHEIRO DARCI GOMES DE MORAES, 17526","RODOVIA PR 412","PONTAL DO SUL","83255-000","PONTAL DO PARANA","PR","Brasil","41","999548084","-",NA
"78834975","SICOOB PA - PORTO AMAZONAS","RUA BARÃO DO CERRO AZUL, 138","SALA COMERCIAL","CENTRO","84140-000","PORTO AMAZONAS","PR","Brasil","-","-","-",NA
"78834975","SICOOB PA - PORTO UNIAO","RUA SETE DE SETEMBRO NR 322","-","CENTRO","89400-000","PORTO UNIAO","SC","Brasil","42","35239556","-",NA
"78834975","SICOOB PA - PRUDENTOPOLIS","RUA OSORIO GUIMARÃES, 630","-","CENTRO","84400-000","PRUDENTOPOLIS","PR","Brasil","-","-","-",NA
"78834975","SICOOB PA - RIO AZUL","AVENIDA MANOEL RIBAS, 858","ESQUINA COM A RUA GETULIO VARGAS","CENTRO","84560-000","RIO AZUL","PR","Brasil","42","34631201","-",NA
"78834975","SICOOB PA - SANTA CRUZ DO TIMBO","RUA 10 DE NOVEMBRO, 337","LOCALIDADE SANTA CRUZ DO TIMBÓ","-","89410-000","PORTO UNIAO","SC","Brasil","42","35261208","-",NA
"78834975","SICOOB PA - SANTA ROSA","AVENIDA EDMUNDO ARRABAR, 1853","SALA 01","SANTA ROSA","89400-000","PORTO UNIAO","SC","Brasil","42","35223087","-",NA
"78834975","SICOOB PA - SAO JOAO DO TRIUNFO","PREFEITO PEDRO FURTADO DAS NEVES, 226","-","CENTRO","84150-000","SAO JOAO DO TRIUNFO","PR","Brasil","42","34471032","-",NA
"78834975","SICOOB PA - SÃO MATEUS DO SUL","RUA ULISSES FARIA, 1011","SALA 1011-A","CENTRO","83900-112","SAO MATEUS DO SUL","PR","Brasil","42","35326372","-",NA
"78834975","SICOOB PA - SÃO MATEUS DO SUL CENTRO","RUA TENENTE MAX FILHO, 339","SALA","CENTRO","83900-092","SAO MATEUS DO SUL","PR","Brasil","-","-","-",NA
"78834975","SICOOB PA - TRES BARRAS","AVENIDA RIGESA, 1736","KM 2","CENTRO","89490-000","TRES BARRAS","SC","Brasil","47","36230110","-",NA
"78834975","SICOOB PA - UNIAO DA VITÓRIA","AVENIDA PAULA FREITAS, 1404","PREDIO","NOSSA SENHORA DA SALETE","84600-000","UNIAO DA VITORIA","PR","Brasil","42","35238001","-",NA
"78834975","SICOOB PA PARANAGUA","AVENIDA GOVERNADOR BENTO MUNHOZ DA ROCHA, 5533","SALA COMERCIAL","VILA DOS COMERCIARIO","83209-000","PARANAGUA","PR","Brasil","-","-","-",NA
"78834975","SICOOB PA PONTA GROSSA CENTR","RUA DOUTOR PAULA XAVIER, 940","SALA COMERCIAL","CENTRO","84010-270","PONTA GROSSA","PR","Brasil","-","-","-",NA
"81016131","SICOOB -  PA POA PETROPOLIS","AVENIDA PROTÁSIO ALVES, 3408","TÉRREO","RIO BRANCO","90410-007","PORTO ALEGRE","RS","Brasil","-","-","-",NA
"81016131","SICOOB - PA CAXIAS EXPOSIÇÃO","RUA TRONCA, 2045","EDIFICIO EXPOTRADE - LOJA TERREA N- 201","RIO BRANCO","95010-100","CAXIAS DO SUL","RS","Brasil","54","32225415","-",NA
"81016131","SICOOB PA - ARROIO TRINTA","RUA XV DE NOVEMBRO, 476","-","CENTRO","89590-000","ARROIO TRINTA","SC","Brasil","49","35351100","-",NA
"81016131","SICOOB PA - BAGÉSICOOB PA - BAGÉ","AVENIDA GENERAL OSÓRIO, 820","-","CENTRO","96400-100","BAGE","RS","Brasil","53","32422215","-",NA
"81016131","SICOOB PA - BENTO GONCALVES","RUA FLORIANO MACHADO, 161","-","CENTRO","95700-110","BENTO GONCALVES","RS","Brasil","54","34526170","-",NA
"81016131","SICOOB PA - BENTO GONÇALVES BOTAFOGO","RUA FORTALEZA, 510","-","BOTAFOGO","95700-580","BENTO GONCALVES","RS","Brasil","54","34534799","-",NA
"81016131","SICOOB PA - CAÇAPAVA DO SUL","RUA LUCIO JAIME, 866","SETOR 1 QUADRA 15 LT 9","CENTRO","96570-000","CACAPAVA DO SUL","RS","Brasil","55","32813376","-",NA
"81016131","SICOOB PA - CAXIAS DO SUL","AVENIDA RIO BRANCO, 262","-","SÃO PELEGRINO","95010-060","CAXIAS DO SUL","RS","Brasil","49","35335200","-",NA
"81016131","SICOOB PA - CAXIAS DO SUL - PIO X","RUA MOREIRA CESAR, 1960","8 PAVIMENTO","PIO X","95034-000","CAXIAS DO SUL","RS","Brasil","54","32212421","-",NA
"81016131","SICOOB PA - DOM PEDRITO","AVENIDA RIO BRANCO, 1228","SALA 01","CENTRO","96450-000","DOM PEDRITO","RS","Brasil","-","-","-",NA
"81016131","SICOOB PA - FARROUPILHA","RUA TIRADENTES, 240","SALA 11 -CONDOMINIO VERTICE LIFE/OFFICE","CENTRO","95170-444","FARROUPILHA","RS","Brasil","54","30111001","-",NA
"81016131","SICOOB PA - FLORES DA CUNHA","RUA FREI EUGÊNIO, 257","-","CENTRO","95270-000","FLORES DA CUNHA","RS","Brasil","54","32924234","-",NA
"81016131","SICOOB PA - FRAIBURGO","RUA NEREU RAMOS, 317","-","CENTRO","89580-000","FRAIBURGO","SC","Brasil","49","32467032","-",NA
"81016131","SICOOB PA - IOMERÊ","AV. PEDRO PENSO, 655","SALA 01","CENTRO","89558-000","IOMERE","SC","Brasil","49","35391030","-",NA
"81016131","SICOOB PA - LEBON REGIS","AVENIDA SANTO ANTONIO, 699","-","CENTRO","89515-000","LEBON REGIS","SC","Brasil","49","32470321","-",NA
"81016131","SICOOB PA - MOINHOS DE VENTO","RUA VINTE E QUATRO DE OUTUBRO, 171","LOJA TERREA 3","MOINHOS DE VENTO","90510-002","PORTO ALEGRE","RS","Brasil","-","-","-",NA
"81016131","SICOOB PA - PINHEIRO PRETO","AVENIDA MARECHAL CASTELO BRANCO, 342","-","CENTRO","89570-000","PINHEIRO PRETO","SC","Brasil","49","35335200","-",NA
"81016131","SICOOB PA - POA - PASSO DA AREIA","AVENIDA ASSIS BRASIL, 1589","LOJA 01","PASSO DA AREIRA","91010-005","PORTO ALEGRE","RS","Brasil","51","33696967","-",NA
"81016131","SICOOB PA - POA FLORESTA","AV. CRISTÓVÃO COLOMBO, 2015","-","FLORESTA","90560-003","PORTO ALEGRE","RS","Brasil","-","-","-",NA
"81016131","SICOOB PA - POA SÃO JOÃO","AV BENJAMIN CONSTANT, 5","SALA 01","FLORESTA","90550-001","PORTO ALEGRE","RS","Brasil","-","-","-",NA
"81016131","SICOOB PA - POA TRISTEZA","AVENIDA OTTO NIEMEYER, 2500","LOJA","TRISTEZA","91910-001","PORTO ALEGRE","RS","Brasil","-","-","-",NA
"81016131","SICOOB PA - RIO DAS ANTAS","RUA DO COMERCIO, 629","-","CENTRO","89550-000","RIO DAS ANTAS","SC","Brasil","49","35640535","-",NA
"81016131","SICOOB PA - RIO DAS PEDRAS","RUA ARLINDO LONGO, 133","-","RIO DAS PEDRAS","89560-460","VIDEIRA","SC","Brasil","-","-","-",NA
"81016131","SICOOB PA - ROSÁRIO DO SUL","RUA MARECHAL FLORIANO PEIXOTO, 2260","-","CENTRO","97590-000","ROSARIO DO SUL","RS","Brasil","-","-","-",NA
"81016131","SICOOB PA - SALTO VELOSO","AV. PIO XII, 193","-","CENTRO","89595-000","SALTO VELOSO","SC","Brasil","49","35360260","-",NA
"81016131","SICOOB PA - SANT LIVRAMENTO","RUA HUGOLINO DE ANDRADE, 279","-","CENTRO","97574-010","SANTANA DO LIVRAMENTO","RS","Brasil","-","-","-",NA
"81016131","SICOOB PA - SAO MIGUEL","RUA ARCANGELO MARAFON, 220","-","SÃO MIGUEL","89580-000","FRAIBURGO","SC","Brasil","49","32461996","-",NA
"81016131","SICOOB PA - SÃO GABRIELSICOOB PA - SÃO GABRIEL","RUA LAURINDO LOPES NUNES, 60","SALA 01","CENTRO","97300-368","SAO GABRIEL","RS","Brasil","55","32320115","-",NA
"81016131","SICOOB PA - SÃO SEPÉ","PLACIDO GONÇALVES, 1496","TERREO","CENTRO","97340-000","SAO SEPE","RS","Brasil","-","-","-",NA
"81016131","SICOOB PA - TANGARA","AV. IRMAOS PICOLLI, 210","SALA 01","CENTRO","89642-000","TANGARA","SC","Brasil","49","35321627","-",NA
"81016131","SICOOB PA - VIDEIRA","AVENIDA DOM PEDRO II, 692","-","CENTRO","89560-208","VIDEIRA","SC","Brasil","49","35335200","-",NA
"81016131","SICOOB PA - VIDEIRA CENTRO","RUA PEDRO ANDREAZZA, 100","SALA1","CENTRO","89560-270","VIDEIRA","SC","Brasil","49","35335230","-",NA
"81016131","SICOOB PA - VILA NOVA DO SUL","JOÃO BATISTA BECKER, 409","SALA 01","CENTRO","97385-000","VILA NOVA DO SUL","RS","Brasil","-","-","-",NA
"78483310","SICOOB PA - HORIZONTINA","RUA URUGUAI, 1526","-","CENTRO","98920-000","HORIZONTINA","RS","Brasil","49","36787150","-",NA
"78483310","SICOOB PA - SANTA ROSA","RUA FLORES DA CUNHA, 465","-","CRUZEIRO","98789-354","SANTA ROSA","RS","Brasil","49","36787150","-",NA
"78483310","SICOOB PA - SANTA ROSA","RUA TRAVESSA BRASIL, 65","-","CENTRO","98780-337","SANTA ROSA","RS","Brasil","-","-","-",NA
"78483310","SICOOB PA - SANTA TEREZA","RUA DO COMERCIO, 1378","-","CENTRO","89896-000","ITAPIRANGA","SC","Brasil","-","-","-",NA
"78483310","SICOOB PA - SAO JOAO DO OESTE","RUA SANTA CRUZ, 325","-","CENTRO","89897-000","SAO JOAO DO OESTE","SC","Brasil","49","36361146","-",NA
"78483310","SICOOB PA - TENENTE PORTELA","RUA TAMOIO, 190","-","CENTRO","98500-000","TENENTE PORTELA","RS","Brasil","49","36787150","-",NA
"78483310","SICOOB PA - TRÊS PASSOS","AVENIDA JULIO DE CASTILHOS, 477","-","CENTRO","98600-000","TRES PASSOS","RS","Brasil","-","-","-",NA
"78483310","SICOOB PA - TUNAPOLIS","AV CERRO LARGO, S/N.","-","-","89898-000","TUNAPOLIS","SC","Brasil","49","36321174","-",NA
"78483310","SICOOB PA CRISSIUMAL","AVENIDA CASTELO BRANCO, 267","-","CENTRO","98640-000","CRISSIUMAL","RS","Brasil","-","-","-",NA
"37076205","ORGANIZACAO DAS COOPERATIVAS BRASILEIRAS","SAS QUADRA 4, BLOCO I, TERREO","-","ASA SUL","70070-936","BRASILIA","DF","Brasil","61","3235635","-",NA
"37076205","PA 09 - 102 SUL","EQS 102/103 BLOCO A LOJAS 70 E 72","CONDOMÍNIO CINE SÃO FRANCISCO","ASA SUL","70330-400","BRASILIA","DF","Brasil","61","32258006","-",NA
"37076205","PAC - NATAL","RUA DR. LAURO PINTO, 245","-","LAGOA NOVA","59064-250","NATAL","RN","Brasil","-","-","-",NA
"37076205","PAC - PARAÍBA","RUA JOÃO TEIXEIRA DE CARVALHO, 480","-","BRISAMAR","58031-900","JOAO PESSOA","PB","Brasil","83","32245577","-",NA
"37076205","PAC 01-UNIVERSIDADE DE BRASÍLIA","PAVILHÃO MULTIUSO I ,BLOCO B, 1º ANDAR","UNB","ASA NORTE","70910-900","BRASILIA","DF","Brasil","61","33072999","-",NA
"37076205","SICOOB - PA CAMARA","PRAÇA DOS TRES PODERES, ÁREA ESPECIAL A,, 2703","ED. CAMARA DOS DEPUTADOS ANEXO I","BRASILIA","70042-900","BRASILIA","DF","Brasil","61","32169988","-",NA
"37076205","SICOOB - PA MOSSORÓ","AVENIDA JORGE COELHO DE ANDRADE, 0","EDIFÍCIO SUBSEÇÃO DA JFRN","PRESID.COSTA E SILVA","59625-400","MOSSORO","RN","Brasil","-","-","-",NA
"37076205","SICOOB - PA PARANOÁ","AVENIDA PARANOÁ, QUADRA 09, CONJUNTO, 01","LOTE 07","PARANOÁ","71571-003","BRASILIA (PARANOA)","DF","Brasil","61","32252007","-",NA
"37076205","SICOOB - PA STJ","ST SAFS QUADRA 6 CONJUNTO A S/N","BLOCO 2 EDIFICIO DOS PLENÁRIOS STJ","ZONA CÍVICO-ADMINISTRATIVA","70070-600","BRASILIA","DF","Brasil","61","33198030","-",NA
"37076205","SICOOB - PA TCU","SAF SUL QUADRA 04 LOTE 1, 1","1- SUBSOLO - ANEXO III","ASA SUL","70042-900","BRASILIA","DF","Brasil","61","32252007","-",NA
"37076205","SICOOB PA- TJDF-LF","SMAS TRECHO 04 LOTE 6/4, 3","ANEXO 3","ASA SUL","70610-906","BRASILIA","DF","Brasil","61","32255573","-",NA
"37076205","TRIBUNAL DE JUSTIÇA DO DISTRITO FEDERAL E DOS TERRITORIOS","PALACIO DA JUSTIÇA - PRAÇA MUNICIPAL LT","BL.A 10º ANDAR","BRASILIA","70094-900","BRASILIA","DF","Brasil","61","3436967","-",NA
"2641969","SICOOB PA - AGUAS CLARAS","RUA SANTA CRUZ, 293","SALA 02","ÁGUAS CLARAS","88353-600","BRUSQUE","SC","Brasil","48","32673500","-",NA
"2641969","SICOOB PA - ANTONIO CARLOS","RUA DANIEL PETRY, 94","TERREO","CENTRO","88180-451","ANTONIO CARLOS","SC","Brasil","48","32720120","-",NA
"2641969","SICOOB PA - BIGUAÇU","RUA GETULIO VARGAS, 387","SALA 02","UNIVERSITÁRIO","88161-004","BIGUACU","SC","Brasil","48","32435014","-",NA
"2641969","SICOOB PA - BOMBINHAS","AVENIDA BALEIA JUBARTE, 22","SALA 02","JOSÉ AMÂNDIO","88215-000","BOMBINHAS","SC","Brasil","47","33691160","-",NA
"2641969","SICOOB PA - BRUSQUE","RUA LUDOVICO MERICO, 67","-","DOM JOAQUIM","88359-240","BRUSQUE","SC","Brasil","47","33968519","-",NA
"2641969","SICOOB PA - CAMBORIU","RUA MANOEL ANASTACIO PEREIRA, 249","-","-","88340-299","CAMBORIU","SC","Brasil","48","32673500","-",NA
"2641969","SICOOB PA - CANELINHA","RUA VALENTIM PEREIRA MELO, 83","-","CENTRO","88230-000","CANELINHA","SC","Brasil","48","32640844","-",NA
"2641969","SICOOB PA - GOVERNADOR","RUA MARIA LUIZA DOS SANTOS, 492","-","CAMBOA","88190-000","GOVERNADOR CELSO RAMOS","SC","Brasil","-","-","-",NA
"2641969","SICOOB PA - ITAPEMA","TERCEIRA AVENIDA, 523","ESQUINA RUA 250","MEIA PRAIA","88220-000","ITAPEMA","SC","Brasil","47","33687790","-",NA
"2641969","SICOOB PA - MAJOR GERCINO","RUA JOAQUIM SILVEIRA, 255","-","CENTRO","88260-000","MAJOR GERCINO","SC","Brasil","48","31973116","-",NA
"2641969","SICOOB PA - MORRETES","RUA 412A, 401","ESQUINA COM A RUA 428","MORRETES","88220-000","ITAPEMA","SC","Brasil","48","32673500","-",NA
"2641969","SICOOB PA - NOVA TRENTO","RUA DOS IMIGRANTES, 307","-","CENTRO","88270-000","NOVA TRENTO","SC","Brasil","48","32673500","-",NA
"2641969","SICOOB PA - PORTO BELO","AVENIDA HIRONILDO CONCEIÇÃO DOS SANTOS, 786","-","PEREQUE","00000-000","PORTO BELO","SC","Brasil","-","-","-",NA
"2641969","SICOOB PA - RIO BRANCO","RUA ERNESTO BIANCHINI, 321","-","RIO BRANCO","88350-779","BRUSQUE","SC","Brasil","-","-","-",NA
"2641969","SICOOB PA - SÃO JOÃO BATISTA","RUA BENJAMIN DUARTE, 45","SALA 11","CENTRO","88240-000","SAO JOAO BATISTA","SC","Brasil","48","32651608","-",NA
"2641969","SICOOB PA - TIJUCAS","RUA CORONEL BUCHELLE, 585","ED BRISA RIO SALA 02","CENTRO","88200-000","TIJUCAS","SC","Brasil","48","32632574","-",NA
"78862083","SICOOB PA - BARRACÃO","RUA SALGADO FILHO, 386","-","CENTRO","95370-000","BARRACAO","RS","Brasil","-","-","-",NA
"78862083","SICOOB PA - BRUNOPOLIS","AVENIDA PALMARES, 706","EDIFICIO","CENTRO","89634-000","BRUNOPOLIS","SC","Brasil","49","35560121","-",NA
"78862083","SICOOB PA - CAMPOS NOVOS","RUA CORONEL FARRAPO, 698","-","CENTRO","89620-000","CAMPOS NOVOS","SC","Brasil","49","35416600","-",NA
"78862083","SICOOB PA - CAPINZAL","RUA XV DE NOVEMBRO, 112","ESQUINA COM A RUA ZÓCOLLI","CENTRO","89665-000","CAPINZAL","SC","Brasil","49","35555616","-",NA
"78862083","SICOOB PA - CURITIBANOS","AV. SALOMÃO CARNEIRO DE ALMEIDA, 492","-","CENTRO","89520-000","CURITIBANOS","SC","Brasil","49","32413669","-",NA
"78862083","SICOOB PA - FREI ROGÉRIO","RUA DOUTOR HELIO ANJOS ORTIZ, 46","-","CENTRO","89530-000","FREI ROGERIO","SC","Brasil","-","-","-",NA
"78862083","SICOOB PA - IBIRAIARAS","RUA AUGUSTO POMATTI, 273","SALA 102","CENTRO","95305-000","IBIRAIARAS","RS","Brasil","-","-","-",NA
"78862083","SICOOB PA - LAGOA VERMELHO","RUA NÍVIO CASTELLANO, 1085","-","CENTRO","95300-000","LAGOA VERMELHA","RS","Brasil","-","-","-",NA
"78862083","SICOOB PA - MACHADINHO","AVENIDA FREI TEÓFILO, 518","SALA A","CENTRO","99880-000","MACHADINHO","RS","Brasil","-","-","-",NA
"78862083","SICOOB PA - MONTE CARLO","SC 452 KM 15, SN","ESQUINA RUA SEBASTIAO NUNES GONÇALVES","CENTRO","89618-000","MONTE CARLO","SC","Brasil","49","35461494","-",NA
"78862083","SICOOB PA - MUITOS CAPÕES","RUA DORIVAL ROVEDA, 611","-","CENTRO","95230-000","MUITOS CAPOES","RS","Brasil","-","-","-",NA
"78862083","SICOOB PA - SÃO JOSÉ DO OURO","AVENIDA ANTONIO FINCO, S/N","-","CENTRO","99870-000","SAO JOSE DO OURO","RS","Brasil","-","-","-",NA
"78862083","SICOOB PA - ZORTEA","RUA ALCEU BORTOLI, 281","SALA 01","CENTRO","89663-000","ZORTEA","SC","Brasil","49","35416600","-",NA
"78862083","SICOOB PA FREI ROGÉRIO","RUA DOUTOR HELIO ANJOS ORTIZ, 46","-","CENTRO","89530-000","FREI ROGERIO","SC","Brasil","-","-","-",NA
"78825023","SICOOB PA - ALPESTRE","RUA DO COMERCIO, 363","-","CENTRO","98480-000","ALPESTRE","RS","Brasil","-","-","-",NA
"78825023","SICOOB PA - BELMONTE","RUA SANTOS DUMONT, 567","-","CENTRO","89925-000","BELMONTE","SC","Brasil","49","36250102","-",NA
"78825023","SICOOB PA - CAIBI","RUA SÃO FRANCISCO, 499","-","CENTRO","89888-000","CAIBI","SC","Brasil","49","36480433","-",NA
"78825023","SICOOB PA - CERRO LARGO","RUA SENADOR PINHEIRO MACHADO, 577","-","CENTRO","97900-000","CERRO LARGO","RS","Brasil","49","36479900","-",NA
"78825023","SICOOB PA - DESCANSO","AVENIDA MARTIN PIASESKI, 333","-","CENTRO","89910-000","DESCANSO","SC","Brasil","49","36230235","-",NA
"78825023","SICOOB PA - FREDERICO WESTPHALEN","RUA JOSE CA-ELLAS, 160","-","CENTRO","98400-000","FREDERICO WESTPHALEN","RS","Brasil","47","36479900","-",NA
"78825023","SICOOB PA - IPORÃ DO OESTE","AVENIDA GUSTAVO FETTER, 1546","SALA 01","CENTRO","89899-000","IPORA DO OESTE","SC","Brasil","49","36343600","-",NA
"78825023","SICOOB PA - MONDAI","AVENIDA LAJU, 888","-","CENTRO","89893-000","MONDAI","SC","Brasil","49","36740611","-",NA
"78825023","SICOOB PA - PALMEIRA MISSÕES","RUA DA REPUBLICA, 471","-","CENTRO","98300-000","PALMEIRA DAS MISSOES","RS","Brasil","-","-","-",NA
"78825023","SICOOB PA - PALMITOS","RUA VISCONDE DO RIO BRANCO, 852","-","CENTRO","89887-000","PALMITOS","SC","Brasil","49","36479900","-",NA
"78825023","SICOOB PA - PLANALTO","AVENIDA DUQUE DE CAXIAS, 636","SALA 1","CENTRO","98470-000","PLANALTO","RS","Brasil","-","-","-",NA
"78825023","SICOOB PA - PORTO XAVIER","RUA FELIPE CAMARÃO, 660","-","CENTRO","98995-000","PORTO XAVIER","RS","Brasil","49","36479900","-",NA
"78825023","SICOOB PA - RIQUEZA","RUA JOAO MARI, 35","-","CENTRO","89895-000","RIQUEZA","SC","Brasil","49","36750281","-",NA
"78825023","SICOOB PA - SANTA HELENA","AVENIDA BRASILIA, 894","-","CENTRO","89915-000","SANTA HELENA","SC","Brasil","49","36330103","-",NA
"78825023","SICOOB PA - SANTO AUGUSTO","RUA INDEPENDENCIA, 320","-","CENTRO","98590-000","SANTO AUGUSTO","RS","Brasil","49","36479900","-",NA
"78825023","SICOOB PA - SANTO CRISTO","RUA PADRE ADOLFO GALLAS, 292","-","CENTRO","98960-000","SANTO CRISTO","RS","Brasil","-","-","-",NA
"78825023","SICOOB PA - SÃO LUIZ GONZAGA","RUA DR. BENTO SOEIRO DE SOUZA, 2616","-","CENTRO","97800-000","SAO LUIZ GONZAGA","RS","Brasil","49","36479900","-",NA
"78825023","SICOOB PA - SEBERI","AVENIDA GENERAL FLORES DA CUNHA, 1206","-","CENTRO","98380-000","SEBERI","RS","Brasil","-","-","-",NA
"78825023","SICOOB PA -CATUÍPE","AVENIDA RIO BRANCO, 755","-","CENTRO","98770-000","CATUIPE","RS","Brasil","49","36479900","-",NA
"78825023","SICOOB PA -GIRUÁ","AVENIDA SANTO ANGELO, 183","-","CENTRO","98870-000","GIRUA","RS","Brasil","-","-","-",NA
"81607046","SICOOB PA -  VILA NOVA","QUINZE DE NOVEMBRO, 7731","-","VILA NOVA","89237-001","JOINVILLE","SC","Brasil","47","34332682","-",NA
"81607046","SICOOB PA - ANCHIETA","RUA VEREADOR GERALDO GARLET, 175","SALA 01","CENTRO","89970-000","ANCHIETA","SC","Brasil","49","36530305","-",NA
"81607046","SICOOB PA - ANTA GORDA","RUA ARMINHO MIOTTO, 1040","SALA A2","CENTRO","95980-000","ANTA GORDA","RS","Brasil","51","37561723","-",NA
"81607046","SICOOB PA - APIÚNA","RUA JOINVILLE, 382","SALA 01","CENTRO","89135-000","APIUNA","SC","Brasil","47","33530055","-",NA
"81607046","SICOOB PA - ARVOREZINHA","RUA MASCARENHAS DE MORÃES, 462","SALA 2","CENTRO","95995-000","ARVOREZINHA","RS","Brasil","-","-","-",NA
"81607046","SICOOB PA - ASCURRA","RUA BENJAMIN CONSTANT, 481","-","CENTRO","89138-000","ASCURRA","SC","Brasil","47","33830777","-",NA
"81607046","SICOOB PA - BANDEIRANTE","RUA 1- DE MAIO, 1285","-","CENTRO","89905-000","BANDEIRANTE","SC","Brasil","49","36260063","-",NA
"81607046","SICOOB PA - BARAO","RUA LEONARDO CELSO MOMBACH, 156","RESIDENCIAL FLACH SALA 303","CENTRO","95730-000","BARAO","RS","Brasil","-","-","-",NA
